LINE_NUMBER,ZONE_NUMBER,TIME_RANGE,DIRECTION,TOTAL_OPERATING_COST,FARE_COLLECTED,FAREBOX_RECOVERY,SIGN_ON_DATE,COUNTY,TYPE
1,2,2 - AM Peak,Outbound,3471.94,865.14,25.00,7/5/2013 0:00:00,Essex,Local
1,2,3 - Mid Day,Inbound,3066.25,1487.47,49.00,7/5/2013 0:00:00,Essex,Local
1,2,3 - Mid Day,Outbound,2509.60,1435.86,57.00,7/5/2013 0:00:00,Essex,Local
1,2,4 - PM Peak,Inbound,1410.47,525.75,37.00,7/5/2013 0:00:00,Essex,Local
1,2,4 - PM Peak,Outbound,2191.19,932.70,43.00,7/5/2013 0:00:00,Essex,Local
1,2,5 - Evening,Inbound,667.49,409.57,61.00,7/5/2013 0:00:00,Essex,Local
1,2,5 - Evening,Outbound,896.28,714.98,80.00,7/5/2013 0:00:00,Essex,Local
1,3,1 - Early AM,Inbound,299.54,86.89,29.00,7/5/2013 0:00:00,Hudson,Local
1,3,1 - Early AM,Outbound,110.85,86.94,78.00,7/5/2013 0:00:00,Hudson,Local
1,3,2 - AM Peak,Inbound,636.83,184.46,29.00,7/5/2013 0:00:00,Hudson,Local
1,3,2 - AM Peak,Outbound,457.57,308.77,67.00,7/5/2013 0:00:00,Hudson,Local
1,3,3 - Mid Day,Inbound,622.68,192.44,31.00,7/5/2013 0:00:00,Hudson,Local
1,3,3 - Mid Day,Outbound,391.53,228.53,58.00,7/5/2013 0:00:00,Hudson,Local
1,3,4 - PM Peak,Inbound,261.81,96.19,37.00,7/5/2013 0:00:00,Hudson,Local
1,3,4 - PM Peak,Outbound,342.00,245.05,72.00,7/5/2013 0:00:00,Hudson,Local
1,3,5 - Evening,Inbound,160.38,58.92,37.00,7/5/2013 0:00:00,Hudson,Local
1,3,5 - Evening,Outbound,162.74,198.18,122.00,7/5/2013 0:00:00,Hudson,Local
111,1,2 - AM Peak,Outbound,0.00,0.00,0.00,7/10/2013 0:00:00,New York,Interstate
111,1,3 - Mid Day,Inbound,463.84,257.20,55.00,7/10/2013 0:00:00,New York,Interstate
111,1,3 - Mid Day,Outbound,0.00,0.00,0.00,7/10/2013 0:00:00,New York,Interstate
111,1,4 - PM Peak,Inbound,526.93,588.44,112.00,7/10/2013 0:00:00,New York,Interstate
111,1,4 - PM Peak,Outbound,0.00,0.00,0.00,7/10/2013 0:00:00,New York,Interstate
111,1,5 - Evening,Inbound,96.48,348.60,361.00,7/10/2013 0:00:00,New York,Interstate
111,2,2 - AM Peak,Outbound,178.11,407.56,229.00,7/10/2013 0:00:00,Hudson,Interstate
111,2,3 - Mid Day,Inbound,898.01,221.91,25.00,7/10/2013 0:00:00,Hudson,Interstate
111,2,3 - Mid Day,Outbound,207.80,547.20,263.00,7/10/2013 0:00:00,Hudson,Interstate
111,2,4 - PM Peak,Inbound,712.47,410.91,58.00,7/10/2013 0:00:00,Hudson,Interstate
111,2,4 - PM Peak,Outbound,29.68,113.31,382.00,7/10/2013 0:00:00,Hudson,Interstate
111,2,5 - Evening,Inbound,200.38,248.74,124.00,7/10/2013 0:00:00,Hudson,Interstate
111,5,2 - AM Peak,Outbound,1009.33,637.13,63.00,7/10/2013 0:00:00,Union,Interstate
111,5,3 - Mid Day,Inbound,103.90,154.40,149.00,7/10/2013 0:00:00,Union,Interstate
111,5,3 - Mid Day,Outbound,831.21,567.09,68.00,7/10/2013 0:00:00,Union,Interstate
111,5,4 - PM Peak,Inbound,129.87,307.44,237.00,7/10/2013 0:00:00,Union,Interstate
111,5,4 - PM Peak,Outbound,122.45,115.80,95.00,7/10/2013 0:00:00,Union,Interstate
111,5,5 - Evening,Inbound,51.95,189.53,365.00,7/10/2013 0:00:00,Union,Interstate
1,1,1 - Early AM,Inbound,49.53,37.31,75.00,7/14/2013 0:00:00,Essex,Local
1,1,1 - Early AM,Outbound,84.91,14.38,17.00,7/14/2013 0:00:00,Essex,Local
1,1,2 - AM Peak,Inbound,115.57,211.84,183.00,7/14/2013 0:00:00,Essex,Local
1,1,2 - AM Peak,Outbound,127.36,47.35,37.00,7/14/2013 0:00:00,Essex,Local
1,1,3 - Mid Day,Inbound,264.16,425.95,161.00,7/14/2013 0:00:00,Essex,Local
1,1,3 - Mid Day,Outbound,318.41,151.19,47.00,7/14/2013 0:00:00,Essex,Local
